id	url	timestamp	title	activity_type	felt	duration_seconds	distance	distance_units	description	effort_outof_5	gear	weather	calories
5680760	http://www.dailymile.com/entries/5680760	2011-03-03T03:49:15Z	8th Ave short flat	Running	alright	2309	4.3	miles	Too much food and drink for dinner.	3	RunAmoc		480
5692916	http://www.dailymile.com/entries/5692916	2011-03-03T21:33:01Z	Workrave	Fitness					120 jumping jacks, 120 push-ups				
5698725	http://www.dailymile.com/entries/5698725	2011-03-04T02:43:19Z	long night loop	Running	blah	4736	9.1	miles	Felt pretty crummy the whole way, although turned part of it into a tempo run... it is hard not to speed up running past campus and the bars on University Ave.  I've been behind on sleep, stressed, and eating like crap.  I was under-veggied, under-fruited, over-meated, and over-junk-fooded this week.  I think my body and glutes noticed that I've been skipping my PT and core strengthening lately.  On the bright side, I think all of the push-ups etc. are paying off... I'm pretty sure I received a cat call from a car full of college girls.	4	Mizuno Wave Universe 3		986
5713402	http://www.dailymile.com/entries/5713402	2011-03-05T00:13:33Z	huaraches and toe socks don't mix	Running	good		2.6	miles	Tried wearing sandals plus Injinji toe socks. Some people swear by it.  I took the socks off after about a half mile, they kept slipping around on the surface of the sandal.  Sock-free, I paid attention to the laces on the top of my foot, no rubbing issues today.  Huaraches are not my favorite footwear.	3	Huarache Sandals		279
5818782	http://www.dailymile.com/entries/5818782	2011-03-06T05:00:00Z	Puerto Rico!	Running	good		6	miles	Beach running in beautiful Puerto Rico!  The sand was really soft, running was difficult as my feet kind of sunk in with every step... it felt kind of like running through deep snow.  I think total mileage for the trip was around 6 miles.  Also did a lot of hiking in the El Yunque national rain forest in my 4mm cherry huarache sandals.  We didn't get above 700m (2300 feet) of elevation, but all of the trails were very steep down and up.	3	Barefoot		645
5818935	http://www.dailymile.com/entries/5818935	2011-03-10T15:23:56Z	First run since getting home from vacation	Running	blah	2306	4	miles	Stiff, sore, and creaky.  Airplane and car rides suck.  But good to be back home safe and sound.	2	VFF Bikila		480
5824584	http://www.dailymile.com/entries/5824584	2011-03-10T21:06:49Z							Shiny new New Balance Minimus Road before heading out for my first run in them.				
5825743	http://www.dailymile.com/entries/5825743	2011-03-10T22:05:46Z	First run in NB Minimus Road	Running	alright	2118	4	miles	Too early to tell how these shoes will do for me.  I think I may have bought a half size too small.  My feet drifted up towards the toes a little bit, making the shoe feel smaller than when I tried it at the store.  I had to take off my thick socks.  Felt ok sockless.  The raised heel definitely affects my foot landing, we'll see if I can adjust. Better for me than Nike Free for sure, though.	3	NB Minimus Road		442
5836405	http://www.dailymile.com/entries/5836405	2011-03-11T14:03:23Z	Hill workout	Running	alright		3.75	miles	Warmup, 6 hill repeats, cooldown.		NB Minimus Road		403
5843289	http://www.dailymile.com/entries/5843289	2011-03-11T22:07:23Z	Workrave	Fitness					50 push-ups				
5851783	http://www.dailymile.com/entries/5851783	2011-03-12T15:17:01Z	Long run in RunAmocs	Running		7800	12	miles	I have been re-reading the Lydiard, decided I needed to get in some 2-hour endurance-building runs.  Wanted to try doing a long run in my RunAmocs.  Ran on greenway / trails where I could, including Clear Lake Nature Area where I had never been before. RunAmocs worked fine.  Not exactly sure of the distance or pace.	2	RunAmoc		1644
5870530	http://www.dailymile.com/entries/5870530	2011-03-13T15:17:44Z	Brywood hills	Running	good	2096	3.5791	miles	Just around my neighborhood.  A good week of running.  No injuries.  Looking forward to Trail of Payne next weekend.	2	NB Minimus Road		430
5874915	http://www.dailymile.com/entries/5874915	2011-03-13T19:07:42Z	easy barefoot	Running	good		1	miles	Working on foot pad development.  Makes a nice warmup before starting my Achilles tendon PT.	1	Barefoot		107
5883890	http://www.dailymile.com/entries/5883890	2011-03-14T02:07:10Z	PT at home	Fitness									
5883922	http://www.dailymile.com/entries/5883922	2011-03-14T02:09:15Z	neighborhoods	Running	alright	2779	5.45	miles	I was bad at dinner so this was to help burn off a huge pile of fish and chips (fried fish, onion rings, and french fries).  Decided to stay off concrete sidewalks and find some nice, quiet neighborhoods so I could run on the asphalt streets.	2	NB Minimus Road		565
5892092	http://www.dailymile.com/entries/5892092	2011-03-14T17:01:57Z							Just (pre)ordered Altra Instincts from the Natural Running Store since I don't think I'll be able to find them locally. http://www.naturalrunningstore.com/				
5895506	http://www.dailymile.com/entries/5895506	2011-03-14T20:29:32Z	Workrave	Fitness					60 jumping jacks, 60 push-ups.  Hamstrings very sore today.				
5916626	http://www.dailymile.com/entries/5916626	2011-03-15T19:26:27Z	Workrave	Fitness					80 jumping jacks, 30 squats, 30 wacky jacks, 20 step-back lunges.				
5925230	http://www.dailymile.com/entries/5925230	2011-03-16T02:22:22Z	nice weather	Running	blah	5170	9.45	miles	Started out great running at cruise speed. Ended poorly.  Hamstrings were still sore from the weekend.  Developed twinges around my knees and achilles.  The raised heel on the NB Minimus is the most likely cause, it definitely affects my stride.  Finally gave up and barefooted it home.	3	NB Minimus Road		993
5925269	http://www.dailymile.com/entries/5925269	2011-03-16T02:24:24Z	barefoot last mile	Running	alright	600	1	miles	Carrying my NB Minimus Road after taking them off in frustration.	2	Barefoot		123
5938081	http://www.dailymile.com/entries/5938081	2011-03-16T20:57:21Z	Workrave	Fitness					140 jumping jacks				
5960912	http://www.dailymile.com/entries/5960912	2011-03-17T23:02:05Z	Easy shakeout run in VFF	Running	alright	2891	5.72	miles	Good to feel the ground again (after so many runs in NB Minimus).	2	VFF Bikila		590
5969880	http://www.dailymile.com/entries/5969880	2011-03-18T13:19:18Z	easy barefoot before work 	Running	good		1.6	miles	Seems like I had a good, therapeutic morning in prep for tomorrow 10k Trail of Payne.  Easy barefoot run with icing after.  My Achilles area and ankles are feeling good.	1	Barefoot		167
5988347	http://www.dailymile.com/entries/5988347	2011-03-19T16:19:51Z	Trail of Payne 10k	Running	good	2532	6.2	miles	Trail of Payne is an awesome trail race!  Great day!  Could not be happier!  Wanted to go out slow and run this as a progression.  We ended up just a little faster than I planned on the first mile, but we held this and increased pace through most of the splits.  Thanks Patrick Oscar B. for pulling me through to a great time and we had fun while doing it.  Splits were something like: 7:02/6:59/6:45/6:55/6:40/6:38/1:07.  Managed 2nd in my age group. Now, to ice my Achilles tendon area...	5	Mizuno Wave Universe 3		516
5998526	http://www.dailymile.com/entries/5998526	2011-03-20T01:13:03Z	warmup	Running			1	miles		1	Mizuno Wave Universe 3		104
5998536	http://www.dailymile.com/entries/5998536	2011-03-20T01:13:50Z	cooldown	Running			0.5	miles		1	RunAmoc		52
6002831	http://www.dailymile.com/entries/6002831	2011-03-20T13:00:31Z	Easy RunAmocs	Running	alright	2804	3.8	miles	Just loosening up after yesterday's race.	1	RunAmoc		565
6030645	http://www.dailymile.com/entries/6030645	2011-03-21T20:21:37Z	Workrave	Fitness					100 jumping jacks, 80 push-ups				
6039472	http://www.dailymile.com/entries/6039472	2011-03-22T02:46:09Z	PT at home	Fitness									
6086168	http://www.dailymile.com/entries/6086168	2011-03-23T04:00:00Z	Workrave	Fitness					250 jumping jacks, 10 step-back lunges, Stadiums 1xSteps 1xBleachers, and donated blood.				
6092410	http://www.dailymile.com/entries/6092410	2011-03-24T20:27:51Z	Workrave	Fitness					120 jumping jacks, 80 push-ups, 15 (each leg) step-back lunges.				
6118262	http://www.dailymile.com/entries/6118262	2011-03-26T12:00:29Z	barefoot easy	Running	good		1	miles		1	Barefoot		104
6137320	http://www.dailymile.com/entries/6137320	2011-03-27T14:45:00Z	Long run in VFF	Running	alright	8513	13.53	miles	Took almost a whole week off after last weekend's race to see if my Achilles area would settle down.  The lack of activity actually seemed to have made it stiff and irritable, so it felt good to get out and run.  Hogtown Creek Greenway to Loblolly Woods, over to Green Acres Park, across the top of the levy to Clear Lake Nature Park, back up 8th Ave to Cofrin Nature Park, across 16th Ave and up through Alfred Ring Park, loop Glenn Springs Rd. to 34th St. and back home.  One bathroom break and two water stops, I didn't carry anything.  Ran to depletion.  A good LSD endurance run.	2	VFF Bikila		1734
6163949	http://www.dailymile.com/entries/6163949	2011-03-28T20:23:56Z	Workrave	Fitness					60 push-ups, 20 jumping jacks				
6173023	http://www.dailymile.com/entries/6173023	2011-03-29T02:26:45Z	PT at home	Fitness									
6173099	http://www.dailymile.com/entries/6173099	2011-03-29T02:30:42Z	bleh	Running	blah	2467	4	miles	Felt pretty depleted.	2	NB Minimus Road		504
6186157	http://www.dailymile.com/entries/6186157	2011-03-29T20:08:00Z	Workrave	Fitness					360 jumping jacks				
6201287	http://www.dailymile.com/entries/6201287	2011-03-30T13:42:45Z	barefoot greenway and neighborhood	Running	good	2400	4.16	miles	Except for the barf burp, felt nice.	2	Barefoot		492
6207560	http://www.dailymile.com/entries/6207560	2011-03-30T19:50:24Z	Workrave	Fitness					200 jumping jacks				
6215015	http://www.dailymile.com/entries/6215015	2011-03-31T02:03:23Z	warmup	Running	good		4	miles	Hamstrings still a little sore from PT.	2	NB Minimus Road		418
6216418	http://www.dailymile.com/entries/6216418	2011-03-31T03:01:29Z	one-third mile hill repeats	Running	alright		3	miles	"Aerobic hill repeats (full recovery in between each), one-third mile of gradual hill that turns into a steep grade near the top.  Six hills: 2:12 / 2:12 / 2:10 / 2:14 / 2:12 / 2:16   Recovery:  2:56 / 2:54 / 3:00 / 4:03 / 4:21 / ---
Really interesting to see how my recovery time increased towards the end."	4			313
6227160	http://www.dailymile.com/entries/6227160	2011-03-31T19:33:57Z	Workrave	Fitness					80 push-ups				
6253554	http://www.dailymile.com/entries/6253554	2011-04-02T03:14:51Z	long night loop	Running	alright	4700	9.1	miles		3	VFF Bikila		959
6278689	http://www.dailymile.com/entries/6278689	2011-04-03T16:10:08Z	San Felasco 4 x Hammock Cutoff loop	Running	alright	8968	15.5	miles	Supposed to be my easy day, but saw Dan C. and his group turn onto the trail a little way ahead of me. Decided to catch up and run with them for a while (hunter instinct?).  See if you can figure out which loop that was.... loop splits (3.8 miles each):  41:02 / 31:14 / 35:19 / 36:14.  Beautiful day in the Hammock.  Trails are in great shape due to recent rain and it looks like they cleaned them off for the planned maintenance burns.  Didn't have any noticeable smoke smell.  My overall time includes the jog to the car and back for refueling.  Continuous forward motion...	3	Adidas Kanadia 3		1807
6321498	http://www.dailymile.com/entries/6321498	2011-04-05T15:19:20Z	PT at home	Fitness	tired				Hard to get motivated to do my PT, skimped on the number of reps.  Must have been the McDonalds french fries that did me in.				
6326059	http://www.dailymile.com/entries/6326059	2011-04-05T19:50:48Z	Workrave	Fitness					110 push-ups.				
6335541	http://www.dailymile.com/entries/6335541	2011-04-06T02:44:35Z	long night loop	Running	injured	4359	9.1	miles	I do not like that increasing intensity aggravates my Achilles tendon area.  I do like that my endurance training seems to be working.	4	VFF Bikila		873
6350024	http://www.dailymile.com/entries/6350024	2011-04-06T21:13:52Z	Workrave	Fitness					210 jumping jacks				
6355738	http://www.dailymile.com/entries/6355738	2011-04-07T01:09:18Z	barefoot	Running	alright	1597	2.5	miles	Seems like any weeknight where I actually get to run with the sun still up leads to barefootin'.	2	Barefoot		315
6362665	http://www.dailymile.com/entries/6362665	2011-04-07T12:04:44Z	PT at home	Fitness	alright				PT hurts, PT is boring, PT generally sucks... but dammit it works to alleviate my Achilles discomfort.				
6370679	http://www.dailymile.com/entries/6370679	2011-04-07T20:15:11Z	Workrave	Fitness					90 jumping jacks, 175 push-ups				
6373268	http://www.dailymile.com/entries/6373268	2011-04-07T22:35:07Z							Brand-New Altra Instinct shoes!  Zero Drop Baby!				
6379225	http://www.dailymile.com/entries/6379225	2011-04-08T02:51:58Z	PT, Plyo, Core	Fitness									
6382627	http://www.dailymile.com/entries/6382627	2011-04-08T11:05:07Z	First run in Altra Instincts	Running	alright	2220	4	miles	"Initial feeling is that I'll be keeping the Instincts.  They are not ""minimalist"" since they are very cushioned but they do support ""natural"" running motion.  No raised heel = no knee pain!  There is a loss of proprioception so I had to remind myself to ""run light"".  I am curious to see how they do on a long run.  I woke up REALLY stiff in my lower legs this morning.  Also have not been feeling great, eating junk (Easter candy has started to appear), and not enough FRUIT and VEGGIES!"	3	Altra Instinct		448
6400515	http://www.dailymile.com/entries/6400515	2011-04-09T13:30:51Z	barefoot greenways	Running	alright	1377	2.5	miles		3	Barefoot		266
6422558	http://www.dailymile.com/entries/6422558	2011-04-10T15:36:23Z	3 hours in Altra Instincts	Running	good	10860	16	miles	I have found my new Long Day shoe - the Altra Instinct.  Shoes did great on sidewalk, road, and greenway / gentle nature trails.  Just guessing at the distance and pace.  I was trying to hit 3 hours of forward motion and I made it.  I have determined that it helps tremendously to injest calories on runs this long.	2	Altra Instinct		2195
6464964	http://www.dailymile.com/entries/6464964	2011-04-12T10:53:25Z	Altra Instincts cure Achilles Tendinitis?	Running	great	2138	4	miles	I cannot explain it but running in the Altra Instincts seem to be curing me of my Achilles pain.  This morning was my third run in them.  Nagging injury for the last six months is disappearing in a week since getting the new shoes.	2	Altra Instinct		424
6466304	http://www.dailymile.com/entries/6466304	2011-04-11T16:00:00Z	Workrave	Fitness					120 jumping jacks				
6484175	http://www.dailymile.com/entries/6484175	2011-04-13T02:39:45Z	Yeah!	Running	good	4014	9.1	miles	It's da shoes!  Perfect cool evening for a fast pace run in my Altra Instincts.  Second part of a double run day.	4	Altra Instinct		800
6488884	http://www.dailymile.com/entries/6488884	2011-04-13T11:54:59Z	Workrave	Fitness					Lots of meetings.  30 jumping jacks, 25 push-ups.				
6510073	http://www.dailymile.com/entries/6510073	2011-04-14T10:51:19Z	morning	Running	alright		3.15	miles	Still sore/stiff from Tuesday.	1	Altra Instinct		324
6511330	http://www.dailymile.com/entries/6511330	2011-04-13T16:00:00Z	Workrave	Fitness					120 jumping jacks, 50 push-ups				
6543052	http://www.dailymile.com/entries/6543052	2011-04-16T02:13:17Z	long night loop	Running	tired	4860	9.1	miles	Still pretty warm and humid out there.  Felt tired.  Here are notables from earlier in the day... work was blah, ate a big lunch (Indian buffet), skipped my Workrave (lots of sitting today), steak was part of dinner.	2	Altra Instinct		982
6565555	http://www.dailymile.com/entries/6565555	2011-04-17T14:09:57Z	San Felasco 2x outer loop with Dan C.	Running	good	7980	16	miles	"Faster than I've been going on my long easy days, but I was able to hang with it. Nice cool morning.  Altra Instincts are ""Dan Stoner - Approved!"" for San Felasco and Florida trails."	2	Altra Instinct		1613
6592575	http://www.dailymile.com/entries/6592575	2011-04-18T19:55:05Z	Workave	Fitness					130 push-ups				
6595131	http://www.dailymile.com/entries/6595131	2011-04-18T22:25:08Z	Barefoot greenways	Running		2691	5	miles		3	Barefoot		533
6626945	http://www.dailymile.com/entries/6626945	2011-04-20T10:59:19Z	Run run run til the sun comes up...	Running	alright	7440	13.35	miles	Saw coyote or grey fox in Cofrin Nature Park.	2	Altra Instinct		1504
6658818	http://www.dailymile.com/entries/6658818	2011-04-21T22:40:37Z	barefoot greenways and side trails	Running	alright	1800	2.8	miles		1	Barefoot		363
6671628	http://www.dailymile.com/entries/6671628	2011-04-21T04:00:00Z	Workrave	Fitness					Did some of my PT exercises at work.  single leg rotation thingy 24 each leg.				
6679883	http://www.dailymile.com/entries/6679883	2011-04-22T23:41:48Z	totally awful	Running	tired	4974	8.1	miles	Just felt terrible.  I'm sure the heat was a contributor.  Also notice some commonalities with the last time I felt bad running after work... I skipped my Workrave again, sitting in my chair all day.  So bad my back hurt getting up to go each lunch and again at the end of the day.  Sitting is baaaaad, mmm-kay?  Also had a huge Chipotle burrito for lunch. Need to eat smaller lunch and maybe have an afternoon snack instead of suffering the big bloat.  Oh yeah, and I didn't have afternoon coffee like usual.	2	Altra Instinct		994
6714060	http://www.dailymile.com/entries/6714060	2011-04-24T21:44:26Z	Happy Easter	Running	alright	6246	10.2	miles	Acclimate... acclimate... acclimate... Gotta get used to this heat.	2	Altra Instinct	hot sunny	1261
6732607	http://www.dailymile.com/entries/6732607	2011-04-25T20:14:49Z	Workrave	Fitness					300 jumping jacks, 175 push-ups				
6785274	http://www.dailymile.com/entries/6785274	2011-04-28T02:13:57Z	meh	Running	blah	3487	6.2	miles	Thought I'd feel good after taking a couple of days off. At first I thought it was going to be a good run but instead I felt stiff in a lot of strange places, generally tired.  Maybe mental.	2	Altra Instinct		703
6817098	http://www.dailymile.com/entries/6817098	2011-04-29T20:18:37Z	Workave	Fitness					400 jumping jacks				
6838024	http://www.dailymile.com/entries/6838024	2011-04-30T23:49:09Z	barefoot	Running		1526	2.5	miles	Went easy except for when I ramped up to top speed for a stretch, feeling out whether I could do a serious race barefoot.  Tore my feet up a little.  Not ready for fast barefoot yet.	3	Barefoot		303
6848294	http://www.dailymile.com/entries/6848294	2011-05-01T17:19:01Z	no sidewalks	Running	alright	12681	20.5	miles	Morning run.  Longest ever! Did my long greeway out-and-back twice and then tagged on some more at the end.  Even though I ate my homeade energy bars and drank fluids the whole way, I was really dead by the end and afterwards my weight was the lowest recorded this century.  Temperature probably went up 20 degrees from the beginning to the end.  Treated myself to Five Guys (hamburger and fries) for lunch.  Splits (actual running) for each out or back (4.4 miles each): 41:59 / 40:07 / 40:02 / 44:36.  Last 2.6 miles in 31:45.  About 12 minutes of jog to my house, refuel, and bathroom stops.  The 3 hours 31 minutes was total clock time.	2	Altra Instinct	sunny	908
6895176	http://www.dailymile.com/entries/6895176	2011-05-03T20:35:07Z	Workrave	Fitness					150 push-ups				
6902215	http://www.dailymile.com/entries/6902215	2011-05-04T01:55:06Z	Brywood hills	Running	good	1856	3.5791	miles	Felt really short compared to the 20-miler I ran on Sunday.	3	Altra Instinct		363
6902628	http://www.dailymile.com/entries/6902628	2011-05-04T02:10:47Z	one-third mile hill repeats	Running	great	1584	2.2	miles	After running my hill loop I still felt good, so decided to do some hill repeats, full recovery in-between (HR back to 120).  Splits:  2:06 / 2:06 / 2:00 / 1:59.  This was WAY better than the last time I did hill repeats (about a month ago).  Feeling fit and loving the Altra Running shoes.	4	Altra Instinct		315
6930516	http://www.dailymile.com/entries/6930516	2011-05-05T12:50:35Z	Hogtown Creek Greenway	Running	alright	1800	2.68	miles	Legs and feet were stiff. Very nice cool morning.	1	Altra Instinct		363
6937942	http://www.dailymile.com/entries/6937942	2011-05-05T20:19:47Z	Workrave	Fitness					100 jumping jacks.				
6957480	http://www.dailymile.com/entries/6957480	2011-05-06T20:54:56Z	Workrave	Fitness					75 push-ups, 15 doorway pull-ups				
6961965	http://www.dailymile.com/entries/6961965	2011-05-07T02:27:55Z	nice night	Running	good	4270	9.21	miles	That's what I'm talking about. Cardio is in good shape. Form must have broken down towards the end, started feeling some twinges in both Achilles.	3	Altra Instinct		861
6994801	http://www.dailymile.com/entries/6994801	2011-05-08T23:49:22Z	barefoot on the beach	Running	good	1800	2.8	miles	The cool ocean water felt better after going for a run on the beach.	1	Barefoot		363
6997235	http://www.dailymile.com/entries/6997235	2011-05-09T02:08:56Z	too... many... french fries	Running	blah	3540	5.93	miles	Really bad eating weekend.  Fish and Chips twice.  Hamburger and fries twice.  Ice cream at least three times.  A few beers. Started this run about 6 pounds heavy.  Time to get back on the healthy eating wagon.	1	Altra Instinct		715
7011827	http://www.dailymile.com/entries/7011827	2011-05-09T20:32:05Z	Workrave	Fitness					20 doorway pull-ups, 100 push-ups				
7044498	http://www.dailymile.com/entries/7044498	2011-05-11T02:18:19Z	warmup	Running	alright	1962	3.2	miles		1	Altra Instinct		388
7044724	http://www.dailymile.com/entries/7044724	2011-05-11T02:27:37Z	one-third mile hill repeats	Running	blah	2132	3.78	miles	Seven uphill repeats with recovery in-between.  Splits:  2:08 / 2:03 / 2:01 / 2:00 / 2:01 / 1:56 / 1:55.  Recoveries ranged from 2:43 - 3:49.	4			424
7044967	http://www.dailymile.com/entries/7044967	2011-05-11T02:38:22Z							After almost a full year of running, I am moving out of my conditioning / base building phase.  Cutting back the mileage volume and adding shorter but higher-intensity sessions (right now, that means hill repeats).				
7055072	http://www.dailymile.com/entries/7055072	2011-05-11T16:03:32Z							"My review of the Altra Running - Instinct
http://thatlinuxbox.com/blog/article.php/altra-running-shoes-instinct"				
7059800	http://www.dailymile.com/entries/7059800	2011-05-11T20:21:33Z	Workrave	Fitness					20 doorway pull-ups, 50 push-ups, and stood up much more today than usual (tried to stand whenever reading a long document).				
7089326	http://www.dailymile.com/entries/7089326	2011-05-13T02:52:39Z	run	Running	good	5903	12.12	miles	"It appears that my body is responding favorably to the speed work.  Started out at what felt like an ""easy"" pace and noticed I ran the first two miles at 8:30 pace. I guess I let my speed creep up from there.  I was pretty tired by the end, though. The biggest change I notice as a result of introducing hill intervals into my training is that I have more knee lift / power / drive in each stride.  If my legs recover I might run the 5k with the Duck on Saturday."	3	Altra Instinct		1188
7112134	http://www.dailymile.com/entries/7112134	2011-05-14T14:54:47Z	warmup / cooldown	Running	alright	1320	2	miles			Altra Instinct		266
7112656	http://www.dailymile.com/entries/7112656	2011-05-14T04:00:00Z	Run Amuck with the Duck	Running	good	1072	2.9	miles	** Edit:  Course was short. ** Huge PR and placed 2nd overall, despite a poorly-marked course and the fact that the race went off about a half hour late.  These people need to attend Race Director training.  I was pretty thirsty by the time we started and the air temperature only got hotter.  I stayed back from the leaders enough so I didn't make any wrong turns myself.  At least one poor guy went down flat trying to recover.  Very happy with my race performance.	5	Altra Instinct	hot sunny	206
7127854	http://www.dailymile.com/entries/7127854	2011-05-15T13:44:37Z	Recovery run	Running	alright	7602	12.28	miles	"Felt cool this morning.  Did my ""Brywood hills"" and ""no sidewalks"" routes.  The trails were nice and soft from all of the rain.  The forests were happy.  Just drank water before and during, I was glad to get some coffee in me when I got home."	1	Altra Instinct		1528
7145921	http://www.dailymile.com/entries/7145921	2011-05-16T10:26:33Z	Brywood to NW 31st Blvd (Glen Springs Rd) out and back	Running	alright	2153	4.0476	miles	Some morning stiffness, including the knees.	3	Altra Instinct		424
7155769	http://www.dailymile.com/entries/7155769	2011-05-16T20:31:45Z	Workrave	Fitness					200 jumping jacks, 75 push-ups, 20 doorway pull-ups				
7179114	http://www.dailymile.com/entries/7179114	2011-05-17T21:12:12Z	Workrave	Fitness					20 doorway pull-ups, 50 jumping jacks				
7190222	http://www.dailymile.com/entries/7190222	2011-05-18T10:45:08Z	Brywood hills	Running	good	3038	6.5	miles	This was a great workout.  Did a variation on my Brywood hill loop twice.  Got winded going up the hills, pushed over the top, and tried to recover while maintaining brisk pace on the downside.  No intervals this week. Still feeling Saturday's race I think.  Sore in the glutes, hips, and calves.  Pains in my knees, ankles, feet, and Achilles.  Loop splits: 26:45 / 23:53.  A cool 55 degrees when I started.	3	Altra Instinct		606
7238977	http://www.dailymile.com/entries/7238977	2011-05-20T19:45:07Z	Workrave	Fitness					20 doorway pull-ups, 25 push-ups				
7239054	http://www.dailymile.com/entries/7239054	2011-05-20T19:49:45Z	barefoot morning run	Running	alright	1800	2.5	miles	Just now getting a chance to log it in dailymile.	1	Barefoot		363
7264861	http://www.dailymile.com/entries/7264861	2011-05-22T11:54:54Z	no sidewalks	Running	great	4380	8.81	miles	Many non-running things going on over this past week.  It payed to ease back on the running during time of stress... had a good run this morning.	3	Altra Instinct		885
7294176	http://www.dailymile.com/entries/7294176	2011-05-23T20:45:22Z	Workrave	Fitness					25 doorway pull-ups				
7301499	http://www.dailymile.com/entries/7301499	2011-05-24T02:12:45Z	that... felt... weird	Running	tired	3126	5.89	miles	Started off feeling easy but then got light-headed.  Stopped to walk a few times.  Seemed disconnected from my body's signals.  I'm sure the heat played a role but overall just felt weird.	2	Altra Instinct		630
7301666	http://www.dailymile.com/entries/7301666	2011-05-24T02:18:12Z							200 miles in my Altra Instincts.  These are now my highest mileage shoes, surpassing my VFF Bikila and MWU3 which each have around 190 miles on them.  The Instincts are holding up better than the others.				
7315348	http://www.dailymile.com/entries/7315348	2011-05-24T18:49:09Z							Registered for the Freedom 8k race in Green Cove Springs on Memorial Day (part of their River Fest celebration).  Hope to see some of you dailymilers there.  http://www.dailymile.com/events/32487-freedom-8k-series				
7320243	http://www.dailymile.com/entries/7320243	2011-05-24T23:26:52Z	Brywood hills	Running	good	1672	3.5791	miles	Hot!	3	Altra Instinct		327
7320372	http://www.dailymile.com/entries/7320372	2011-05-24T23:32:52Z	downhill sprints	Running	alright		1.8	miles	At least four repeat .2 mile downhill sprints.  Goofed on the watch but I think splits were around 56-57 seconds each.  Felt a bit awkward running that fast downhill but I could feel the increase in leg turnover.	3	Altra Instinct	hot	20
7350490	http://www.dailymile.com/entries/7350490	2011-05-26T10:53:47Z	morning recovery run	Running	alright	5095	9.1	miles	Tight in the ankles.  Achilles area tender.	1	Altra Instinct		1018
7359764	http://www.dailymile.com/entries/7359764	2011-05-26T20:26:22Z	Workrave	Fitness					200 jumping jacks, 125 push-ups, 35 doorway pull-ups				
7365007	http://www.dailymile.com/entries/7365007	2011-05-27T01:38:32Z							My scrawny high school self (the guy on the right) back in the early 90s. I was a late bloomer. Beating my past self is one of my running goals.				
7386829	http://www.dailymile.com/entries/7386829	2011-05-28T13:25:27Z	jog to the track in new RunAmoc DASH	Running	great	1578	3	miles	New shoes are the RunAmoc DASH Smooth by Soft Star Shoes.  Bought them to be my new daily work shoes but decided to give them a try running.  Great great improvements over the previous RunAmoc LITE.  Mine have the trail sole which makes them a bit heavy (probably heavier than my Altra Instincts).  A fun shoe.  Would make a great XC option for some people.	1	RunAmoc DASH Smooth		315
7386873	http://www.dailymile.com/entries/7386873	2011-05-28T13:28:06Z	barefoot jog home from track	Running	alright	1800	2.2	miles		1	Barefoot		363
7386920	http://www.dailymile.com/entries/7386920	2011-05-28T13:30:31Z	None	Running	alright	1040	2	miles	Testing out the RunAmoc DASH Smooth on the track.  Four x 400m with jog 400 in between.  Splits: 1:20 / 1:21 / 1:20 / 1:19.	4	RunAmoc DASH Smooth		206
7389840	http://www.dailymile.com/entries/7389840	2011-05-28T15:46:27Z							Soft Star Shoes - RunAmoc DASH Smooth in default black color and 5mm trail sole.				
7431749	http://www.dailymile.com/entries/7431749	2011-05-30T23:19:10Z	warm up / down	Running	good	1200	2	miles			Altra Instinct		242
7431862	http://www.dailymile.com/entries/7431862	2011-05-30T23:27:03Z	Freedom 8k Inaugural race in Green Cove Springs	Running	good	1928	5	miles	It was pretty cool to be lined up at the starting line behind / beside elite runners.  Unfortunately, this pulled me along to a first mile that was faster than planned. The race was hot and painful and a big mental challenge.  Happy with the results.  First in my age group.  The course was very well-marked, a nice venue.	5	Altra Instinct	hot sunny	388
7462773	http://www.dailymile.com/entries/7462773	2011-06-01T11:00:20Z	Brywood to NW 31st Blvd (Glen Springs Rd) out and back	Running	alright	2370	4.0476	miles	Recovery run. Still sore and stiff from Monday's race.	1	Altra Instinct		473
7473995	http://www.dailymile.com/entries/7473995	2011-06-01T20:24:40Z	Workrave	Fitness					50 jumping jacks, 50 push-ups, 25 doorway pull-ups.				
7518251	http://www.dailymile.com/entries/7518251	2011-06-03T20:23:57Z	Workrave	Fitness					150 jumping jacks, 100 push-ups, 25 doorway pull-ups				
7523574	http://www.dailymile.com/entries/7523574	2011-06-04T02:50:17Z	GHFC round trip	Running	alright	2820	5	miles	Jog to Gainesville Health and Fitness and back home.	1	Altra Instinct		515
7523611	http://www.dailymile.com/entries/7523611	2011-06-04T02:53:57Z	Core and glutes	Fitness					Decided to activate the one-month free membership to GHFC that I won at one of the races.  Did core and butt and some of the leg machines.  Had trouble walking out of the building without a limp (twinge in my glute), but once I started running I was fine.				
7546091	http://www.dailymile.com/entries/7546091	2011-06-05T13:07:40Z	no sidewalks	Running	blah	6000	8.81	miles	Wow bleh!  Creaky in the ankles and many muscles are still sore from Friday's Core workout at GHFC, especially the glutes.  Did some walking.  Feet feeling odd, wonder if my shoes are starting to break down (my Altra Instincts have 230 miles on them).	1	Altra Instinct		1212
